feature,review,is_matched
any device,This app would be good if the any device actually worked.,1
any device,I love the tv shows! It works perfectly.,0
any device,"The enjoy streaming is terrible, doesn't work at all.",0
any device,"Disappointed with the your favorite shows, needs improvement.",0
any device,This app has a great save data that makes everything easier.,0
any device,"Terrible app, don't waste your time.",0
personalized recommendations,"Disappointed with the personalized recommendations, needs improvement.",1
personalized recommendations,"The personalized recommendations works flawlessly, very impressed.",1
personalized recommendations,Can't get the personalized recommendations to work properly. Uninstalling!,1
personalized recommendations,This app has a great personalized recommendations that makes everything easier.,1
personalized recommendations,Can't get the personalized recommendations to work properly. Uninstalling!,1
personalized recommendations,Can't get it to work properly.,0
personalized recommendations,Not worth the storage space.,0
personalized recommendations,I'm really enjoying the unlimited streaming in this update.,0
personalized recommendations,"Disappointed with the set profiles, needs improvement.",0
personalized recommendations,"The review movies is amazing, best app I've used.",0
different family members,"The different family members is amazing, best app I've used.",1
different family members,I'm really enjoying the different family members in this update.,1
different family members,"I'm using the different family members occasionally, it's decent.",1
different family members,Finally an app with a good different family members. Five stars!,1
different family members,"Disappointed with the different family members, needs improvement.",1
different family members,enjoy streaming is buggy and frustrating to use.,0
different family members,"I'm using the save data occasionally, it's decent.",0
different family members,This app has a great your favorite shows that makes everything easier.,0
different family members,Needs improvement.,0
different family members,Too many ads!,0
your favorite shows,I'm really enjoying the your favorite shows in this update.,1
your favorite shows,"Disappointed with the your favorite shows, needs improvement.",1
your favorite shows,your favorite shows is exactly what I needed. Great job!,1
your favorite shows,"The your favorite shows works flawlessly, very impressed.",1
your favorite shows,This app has a great your favorite shows that makes everything easier.,1
your favorite shows,"Great create watchlists, intuitive and easy to use!",0
your favorite shows,This app has a great access exclusive original content that makes everything easier.,0
your favorite shows,Can't get the set profiles to work properly. Uninstalling!,0
your favorite shows,Simple and easy to use.,0
your favorite shows,I have mixed feelings about the receive recommendations.,0
our platform,This app would be good if the our platform actually worked.,1
our platform,"The our platform is amazing, best app I've used.",1
our platform,"I'm using the our platform occasionally, it's decent.",1
our platform,The our platform is full of glitches. Fix it please!,1
our platform,"The our platform works, but it's nothing special.",1
our platform,I have mixed feelings about the save data.,0
our platform,Can't get it to work properly.,0
our platform,download content is exactly what I needed. Great job!,0
our platform,"Not sure about the receive recommendations, it's a bit hit or miss.",0
our platform,"The access exclusive original content is amazing, best app I've used.",0
